Moyamba,288984191,Bonthe,residential
Moyamba,189182648,Bo,unclassified
Moyamba,189800823,Bonthe,unclassified
Moyamba,293379239,Tonkolili,unclassified
Moyamba,295907393,Tonkolili,unclassified
Moyamba,303083781,Tonkolili,unclassified
Moyamba,306349114,Tonkolili,path
Moyamba,303083762,Tonkolili,unclassified
Moyamba,296485743,Bo,path
Moyamba,303083768,Tonkolili,unclassified
Moyamba,299286042,Port Loko,unclassified
Moyamba,303265992,Tonkolili,unclassified
Moyamba,303083783,Tonkolili,unclassified
Moyamba,176719948,Port Loko,secondary
Moyamba,189800820,Bonthe,unclassified
Moyamba,309216756,Port Loko,path
Moyamba,296682156,Bo,path
Moyamba,204667970,Bo,unclassified
Moyamba,204667971,Bo,unclassified
Moyamba,306459183,Port Loko,path
Moyamba,189158829,Bonthe,secondary
Moyamba,307003066,Tonkolili,path
Moyamba,297391928,Bonthe,unclassified
Bombali,177894716,Tonkolili,secondary
Bombali,309357714,Port Loko,unclassified
Bombali,309357715,Port Loko,unclassified
Bombali,309307229,Port Loko,path
Bombali,306595125,Tonkolili,unclassified
Bombali,301968763,Port Loko,unclassified
Bombali,309120525,Koinadugu,primary
Bombali,302890485,Port Loko,unclassified
Bombali,302554732,Port Loko,unclassified
Bombali,285181640,Tonkolili,unclassified
Bombali,285177729,Tonkolili,unclassified
Bombali,309142469,Koinadugu,unclassified
Bombali,310635359,Koinadugu,path
Bombali,310635355,Koinadugu,path
Bombali,310635356,Koinadugu,path
Bombali,302554719,Port Loko,unclassified
Bombali,301981273,Port Loko,unclassified
Bombali,309070011,Port Loko,unclassified
Bombali,284934748,Tonkolili,unclassified
Bombali,307627418,Koinadugu,path
Bombali,307806590,Tonkolili,unclassified
Bombali,302638788,Port Loko,unclassified
Bombali,310725406,Kambia,unclassified
Bombali,275123246,Tonkolili,track
Bombali,303862227,Kambia,unclassified
Bombali,302580145,Kambia,unclassified
Bombali,74213821,Tonkolili,tertiary
Bombali,302720477,Koinadugu,unclassified
Bombali,307773522,Tonkolili,path
Bombali,302399875,Kambia,secondary
Bombali,275123196,Koinadugu,unclassified
Bombali,307627414,Koinadugu,path
Bombali,284919265,Port Loko,tertiary
Bombali,284935860,Tonkolili,unclassified
Bombali,309666548,Koinadugu,path
Bombali,302551401,Port Loko,unclassified
Bombali,285172497,Tonkolili,track
Bombali,302580153,Kambia,unclassified
Bombali,302720470,Koinadugu,unclassified
Bombali,309978791,Port Loko,track
Bombali,302720472,Koinadugu,unclassified
Bombali,306366040,Koinadugu,unclassified
Bombali,307774813,Tonkolili,path
Bombali,302720482,Koinadugu,unclassified
Bombali,310186433,Kambia,path
Bombali,229639942,Tonkolili,tertiary
Bombali,306599189,Tonkolili,track
Bombali,308610581,Port Loko,unclassified
Bombali,307627417,Koinadugu,path
Bombali,307783586,Koinadugu,residential
Bombali,308994466,Port Loko,unclassified
Bombali,307806589,Tonkolili,unclassified
Bombali,307627409,Koinadugu,track
Bombali,307627406,Koinadugu,track
Bombali,307627400,Koinadugu,path
Bombali,301932915,Port Loko,unclassified
Bombali,224720347,Tonkolili,tertiary
Bombali,43275402,Tonkolili,trunk
Bombali,285177731,Tonkolili,path
